sample	mutsig	attribution
daBalNigr1_SOM	SBS27	1.33377792597533e-06
daBalNigr1_SOM	SBS28	4.33477825941981e-06
daBalNigr1_SOM	SBS29	5.26842280760253e-05
daBalNigr1_SOM	SBS30	0.000106702234078026
daBalNigr1_SOM	SBS31	0.000219406468822941
daMisOron1_SOM	SBS0	0.244724666666667
daMisOron1_SOM	SBS1	0.0747006666666667
daMisOron1_SOM	SBS2	0.0327026666666667
daMisOron1_SOM	SBS3	0.0766653333333333
daMisOron1_SOM	SBS4	0.01927
daMisOron1_SOM	SBS5	0.353771333333333
daMisOron1_SOM	SBS6	0.009166
daMisOron1_SOM	SBS7	0.0422006666666667
daMisOron1_SOM	SBS8	0.00113333333333333
daMisOron1_SOM	SBS9	0.0150353333333333
daMisOron1_SOM	SBS10	0.045388
daMisOron1_SOM	SBS11	0.026288
daMisOron1_SOM	SBS12	0.00859333333333333
daMisOron1_SOM	SBS13	0.000434
daMisOron1_SOM	SBS14	0.000158666666666667
daMisOron1_SOM	SBS15	0.000358
daMisOron1_SOM	SBS16	0.000279333333333333
daMisOron1_SOM	SBS17	0.000356666666666667
daMisOron1_SOM	SBS18	0.0442533333333333
daMisOron1_SOM	SBS19	0.003476
daMisOron1_SOM	SBS20	0.000255333333333333
daMisOron1_SOM	SBS21	8.53333333333333e-05
daMisOron1_SOM	SBS22	2e-06
daMisOron1_SOM	SBS23	3.33333333333333e-06
daMisOron1_SOM	SBS24	0.000183333333333333
daMisOron1_SOM	SBS25	8e-05
daMisOron1_SOM	SBS26	9.53333333333333e-05
daMisOron1_SOM	SBS27	8.26666666666667e-05
daMisOron1_SOM	SBS28	6.66666666666667e-07
daMisOron1_SOM	SBS29	5e-05
daMisOron1_SOM	SBS30	0.00018
daMisOron1_SOM	SBS31	2.66666666666667e-05
daPulDyse1_SOM	SBS0	0.30167000333667
daPulDyse1_SOM	SBS1	0.102474140807474
daPulDyse1_SOM	SBS2	0.0237317317317317
daPulDyse1_SOM	SBS3	0.0719863196529863
daPulDyse1_SOM	SBS4	0.0159916583249917
daPulDyse1_SOM	SBS5	0.0131224557891225
daPulDyse1_SOM	SBS6	0.30638004671338
daPulDyse1_SOM	SBS7	0.00256022689356023
daPulDyse1_SOM	SBS8	0.00208441775108442
daPulDyse1_SOM	SBS9	0.000992992992992993
daPulDyse1_SOM	SBS10	0.0515455455455455
daPulDyse1_SOM	SBS11	0.00127727727727728
daPulDyse1_SOM	SBS12	0.00522722722722723
daPulDyse1_SOM	SBS13	0.00044678011344678
daPulDyse1_SOM	SBS14	0.000485151818485152
daPulDyse1_SOM	SBS15	0.000298965632298966
daPulDyse1_SOM	SBS16	0.0003003003003003
daPulDyse1_SOM	SBS17	0.000923256589923257
daPulDyse1_SOM	SBS18	0.0218501835168502
