SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85
TOL11	0.07723033623557429	0.08513558419823797	0.6448651105745014	0.3876933319455609	0.6387635235419141	0.18936690206724782	0.15604894258593885	0.31269004309696785	0.21683735927700207	0.17996493527318783	0.44592532636956084	0.45513694573566144	0.08038447056758233	0.22361028422625792	0.261213634368029	0.48696360441354714	0.051412389954510376	0.16852979054016365	0.15516970360870957	0.2651657004169671	0.17183616960056972	0.10240592585334116	0.2961259294766632	0.23638128180987922	0.25822445640279335	0.3685207333627453	0.38020151142844255	0.34534207938733624	0.30593673672473304	0.6224107225304358	0.5296011079295307	0.4135354889188894	0.16328521792292106	0.2882627641939712	0.31967349741378437	0.4801024112465282	0.27053871457138773	0.41320559869467216	0.1599804843556602	0.455717380082911	0.20160977206204897	0.4144093850277488	0.11040195942943089	0.40674906388970783	0.5814992312644296	0.32599800268369233	0.3805562152271019	0.4279464857592003	0.36518015999869713	0.15063998450518362	0.5386786011990897	0.3386644961646456	0.051079356035411395	0.05046167298359623	0.26871734747265996	0.5370012587697139	0.10722684749835154	0.13537851027036538	0.4887337344169339	0.33451274910143197	0.12245584562229353	0.30348757888586897	0.31766518683303197	0.08281938981678384	0.28466183024642205	0.2543950593183914	0.3966795041695803
TOL12	0.03900364604935454	0.0957573562181431	0.4095464562359876	0.22707200112459705	0.41379341690790056	0.12483849914549026	0.11446865021149433	0.1359523399666322	0.27249418344224596	0.2548211881004284	0.4028244934851817	0.4060442913080234	0.05049529457482477	0.07085201730527402	0.16247443063681027	0.27013635127665336	0.04522597251403358	0.09922039624258278	0.10766482319567562	0.1926172804538524	0.5103633592538565	0.04308908610042247	0.204018036326781	0.1824745544868628	0.18631710396688278	0.1572368405835652	0.2541728899539798	0.1508185426377694	0.18834154506662357	0.4099718518144998	0.2707577002809222	0.1795219651316894	0.030747663617315204	0.18601446650250844	0.19315942556187102	0.22580826266343487	0.26845436348611607	0.09779220119797798	0.7142160878554422	0.20384723070579436	0.12301214534434315	0.32944314829254767	0.0666782048413615	0.26418652272940035	0.4275440613525089	0.5137135834728013	0.2415871325416468	0.09805438447085764	0.30940877895705704	0.05862118402247155	0.43313846734967976	0.5222592091984277	0.015756506638167377	0.030580300187354817	0.22313823974637972	0.30739465283608786	0.059818377774036306	0.09066409337136164	0.12052011748536441	0.0819099839026722	0.10720943156506398	0.1951695922641168	0.28505773257732797	0.07698740147461267	0.021758185481900193	0.23351018531125847	0.509434518797647
TOL13	0.6271234362274992	0.1015662756282575	0.2578548595074644	0.21213028852201304	0.4036056596973867	0.7027519590386057	0.1876193255677658	0.2283375937299414	0.07807693609739383	0.08371240644973381	0.20781022724765225	0.1946426390995412	0.0588076283170486	0.5959723301992544	0.13189924192611036	0.1305915489171601	0.037569051878286845	0.09762641827883102	0.6681409480260321	0.11504435537127121	0.04317166197799083	0.02896126895571847	0.23307441594072675	0.13682809871825988	0.18696755271749593	0.10919389339159273	0.10975597729601043	0.18682241129077293	0.28497975597436204	0.3541796530280037	0.16182723737467183	0.132131707327597	0.04840339873799445	0.2794617088970151	0.20412889694157527	0.1926121952594433	0.20619090334031068	0.08936623309299269	0.10335135681542472	0.18625814192923923	0.12209139970417768	0.16735321384850035	0.0941352115199736	0.22270026378785152	0.24866989987577745	0.21639453099250316	0.20698531332829806	0.07276419113671875	0.3217466230588528	0.11284264255559406	0.17485198968180235	0.11938438093713483	0.05677640698699097	0.12095535435639007	0.16820202390111588	0.18656894211744884	0.06591488965888626	0.1505094359760916	0.15835977295431294	0.0891581043703546	0.06739128893160905	0.15836738458184402	0.16381932427774373	0.03694375156728309	0.041374752510390043	0.1612246120360114	0.12107422028980738
TOL14	0.040610904362498416	0.15543591379392221	0.41369096644377956	0.5760453314675734	0.35221847851038585	0.13265599845706696	0.138591670665828	0.15391778178754553	0.057829190465959565	0.0889921209263079	0.5551592304825526	0.16964437875422642	0.1539867783427503	0.0854578747861105	0.15604456154804652	0.07730008770185262	0.06677199585257837	0.32716408048518636	0.1395484507495822	0.1165354016404956	0.016777053482930564	0.010214666845659139	0.6051454048957722	0.1779704497530243	0.20125128487818925	0.06297951248690965	0.09671645031440114	0.17302500055633036	0.6833802095550578	0.3080206575912844	0.05817450329772139	0.14775980090360297	0.02306573070801001	0.7449634082858926	0.23851632337414033	0.23332141995157218	0.2794360877660993	0.05105673935300809	0.057034028781344885	0.35046495362040014	0.44278608389431034	0.09412103267922592	0.1614317107001068	0.24872325397838152	0.5063702629086615	0.10525202158587516	0.29028599373442737	0.09041578370515585	0.22328890225327083	0.21839262392545256	0.15408279119960552	0.24145463998442812	0.21230365698859047	0.11901181956074741	0.5008055671149801	0.4048912843349142	0.26134018299168515	0.19158801012521257	0.06224843033479719	0.05255108920223738	0.23043118904594787	0.1368935536715088	0.2725727378650264	0.3757252425936031	0.022375114325620123	0.2080889581137763	0.10440253810221224
TOL15	0.06726402910781915	0.14943257622969053	0.6396001805883649	0.4140846516275471	0.5987721250561868	0.19965032501226146	0.3089834414493411	0.4726690271424293	0.1570785954573107	0.17298536034707057	0.429021196344189	0.33185939521756724	0.06716952913364556	0.2187252317597756	0.391833301597046	0.3447454836327341	0.06258891282896847	0.1392986742741255	0.1834452004751782	0.2148515825795448	0.13341445338938634	0.07432931508343173	0.290300053152532	0.48978431591014804	0.24021309030112314	0.25685085121719414	0.20112468209629877	0.4555878167818641	0.2945792025488315	0.4642281594265094	0.3586193503763943	0.23613499366502153	0.055261604590722165	0.28651627977044986	0.3928333601966421	0.574638373815933	0.3566294321410574	0.28385378505708253	0.1680398056010712	0.4983319983418735	0.1908988217581108	0.28712439425761055	0.22832068501674901	0.4435984731558516	0.5946496308314446	0.2680405159205584	0.41190279561999005	0.23222476604787842	0.3075892524177629	0.21517894894620415	0.42163504803103036	0.31510739282053307	0.022182429100985997	0.0992039057824007	0.47878797713377547	0.3886143405783128	0.09689914634698382	0.3875717842980976	0.3187849977923265	0.1340084839325417	0.09802101810098023	0.24779659736343496	0.35096489277947074	0.06363167694091902	0.07975475956273753	0.3506905267417703	0.2906645701815736
TOL16	0.044660565558100315	0.13076800329381819	0.4835252044226677	0.2373125131780952	0.48411635503243294	0.16458439736921832	0.2564332370736884	0.2598564610868485	0.2862856086420896	0.2505140885342243	0.3324146432548125	0.5281169457054773	0.056500707975364196	0.1305780675376335	0.2840278699976681	0.34059694561056714	0.04306494830573183	0.09933163287002278	0.1658470694039936	0.22725399253371373	0.3971720017960885	0.15335181651534693	0.20619548568200902	0.16565874921784998	0.2146030719163114	0.21125926939974604	0.29258266111465986	0.23342606086813597	0.23471244871589347	0.4559171556822158	0.325730218179085	0.2242618513563925	0.14468556244771916	0.15397643549382733	0.3069653878171922	0.2548769109829359	0.25328652662350964	0.09692101779968508	0.5135994839494449	0.2449793930840656	0.13710687963792473	0.49638229066300754	0.09743878584167222	0.30215160945246694	0.5049927232627476	0.5745946212608961	0.36583748691098783	0.23722772161456296	0.30562244999287874	0.10059134960817154	0.4660158943044824	0.5988237770992824	0.05340966730720025	0.04194336030539371	0.2927058790473153	0.26394840298859085	0.08961527509375443	0.13079814863312889	0.14407416831728995	0.1671874720897048	0.09863132870263408	0.2791945476407189	0.305156685504787	0.06497116507850641	0.07604558763884255	0.251028494443027	0.4663304303599346
TOL17	0.15294122848841576	0.7244389609097375	0.2691137730151353	0.15509780854532565	0.43941651497531947	0.20553111382281106	0.8370735465032735	0.643650950977497	0.10770150664640518	0.141099839662313	0.14731167689199268	0.15666053994432402	0.04673428632686789	0.6880279900563921	0.4787163519017695	0.10081107673938378	0.0398555830853813	0.06015333628120034	0.14674832198026364	0.10854246376933338	0.021271724902598148	0.012536743375181628	0.17461206429469192	0.3333161243857051	0.11036654382667421	0.053617009834936634	0.057147418839728854	0.2731389272913118	0.12569022771483346	0.2823581625343836	0.08466850913942224	0.1042056107513508	0.022589941096059347	0.1331187141676895	0.6195967897933635	0.282720920308571	0.34744646093811404	0.0752178049513356	0.12290021543134416	0.17502799577211708	0.11291000956809291	0.11306845644229578	0.09936750044812728	0.15686651627409004	0.4449252199315868	0.19634207704705053	0.23477938083404035	0.029219428631961593	0.11206282368763741	0.07889061769550954	0.18583365795666923	0.3102163300607971	0.00998525150487532	0.038598531217446476	0.4302408529799825	0.2007160974740321	0.046142839824876346	0.12623710619872627	0.04509789196141521	0.07289856065825563	0.044103884031400205	0.19315050904028627	0.4483084575170858	0.02335683874011194	0.012038921108233527	0.175140624114817	0.20374878224919146
TOL18	0.07801892284548488	0.22741093879733756	0.43271839759559594	0.33261425730620237	0.5322476031167221	0.5151247919924573	0.36857560351394464	0.35004361849720655	0.08138567131636815	0.1667718840925757	0.3002347150911205	0.2431638854649306	0.2324443269892147	0.3282860002048162	0.5953059088639385	0.11639823542134795	0.050173650140461504	0.39892649999434326	0.4785141894668878	0.12599297620969682	0.029866776495750147	0.023862138359211	0.3529544055606862	0.4643292243663757	0.46750642884446675	0.1449611592457077	0.07633062454164652	0.6173874896067792	0.43291771136586066	0.3559315518300382	0.12961026818266244	0.1356628339211687	0.027889740484088713	0.3233977468334439	0.4998012162359225	0.26853963405233067	0.5192738290442879	0.07446114367007167	0.04379514555328081	0.35153150342655987	0.3093177622921044	0.13591068174067875	0.18670577595364002	0.24008637718819079	0.49869050002057863	0.17295615761586203	0.847181707502001	0.06387211320083101	0.6901109768434478	0.22625652720761358	0.20410688317872827	0.1598717446565267	0.028102803684646207	0.07030380222575881	0.30283280179906025	0.17743644527531754	0.09661112439797309	0.12404665012499537	0.09790687913266381	0.0871144708341256	0.23503932366711577	0.18174031236992602	0.2962093381353981	0.16630220083813704	0.03890928081203949	0.8127329562760721	0.1291620076825125
TOL19	0.4507487902524864	0.0827303200657423	0.2495050578253373	0.20712864155159127	0.3576844716225318	0.4801241685261918	0.14335840419414908	0.2605835328627262	0.08776584170892061	0.09357329114472894	0.19674996290233132	0.16633176460863347	0.046952771785241924	0.18285781837796727	0.11913878530516721	0.09212735519395872	0.04022230641752351	0.09793173436266983	0.1906172802075453	0.09775153329099935	0.02486853163484319	0.013157072473772381	0.2502336934347742	0.22962560026428075	0.13318280282029257	0.07498150472860134	0.08010599100323257	0.20016250657314938	0.1998256661398776	0.28214084542775936	0.09784276269663651	0.11701011045364124	0.02809082637675839	0.2464993568531817	0.24103209399932018	0.23530321067459117	0.17335119824868062	0.07878436868434398	0.11397690139991552	0.17316923755844824	0.14467699868274653	0.11243518526544245	0.10782947027767112	0.19968911879253795	0.2660705123679615	0.1677644314082499	0.15929834836047277	0.06596719247203689	0.1703436537976355	0.10310694172970465	0.1683017456682118	0.17469839096512035	0.026172356927850426	0.05413978700437871	0.16311063417744892	0.2789492754978346	0.07862638750325267	0.15498386783968593	0.1496478701788737	0.05970124167270939	0.08159142669444197	0.1285309476136339	0.1852071123407001	0.05882138763940805	0.03888154137909144	0.10829662287068453	0.146226326349273
TOL20	0.057916709730823676	0.3660167866849407	0.4292682690022789	0.1720959988878955	0.5061684629766939	0.12143737101982223	0.4998730091256363	0.48738147345571864	0.22902277135073595	0.308045276012669	0.1672390037683828	0.3465443645004673	0.03956640671410459	0.25553721542962005	0.37313763319026666	0.5466664449857865	0.042448963948850726	0.07374580807491977	0.10016593919818073	0.1455879423018449	0.131126827094531	0.027960706489305494	0.1592745113614654	0.2488065436241192	0.15807216648724065	0.316789440563869	0.09207242461747443	0.2514626792516307	0.1599608603162132	0.3476232688074736	0.3812135305673688	0.12433946619437983	0.040889457855107295	0.13851288725320385	0.4332949855039192	0.3164538759757743	0.24504172775750738	0.2924159388158923	0.06463982228995892	0.20348178003046677	0.11204916337750224	0.47725028916038953	0.0596627030812736	0.23360509339764096	0.46914173915955676	0.4708649089448185	0.25489470667883246	0.11476719827697858	0.22819226818360758	0.058699292986732446	0.38405527718099425	0.25919221824823213	0.02947230350231713	0.021819029798593945	0.3632361059876996	0.24347383270910086	0.052920617449201623	0.0925511454864513	0.18333811543953565	0.08754029488682541	0.043793671078059974	0.32899456903024443	0.37460609818028057	0.05633299915223979	0.030574930391340852	0.1731432780785138	0.3059832205559302
