TOL1	TOL2	TOL3	TOL4	TOL5	TOL6	TOL7	TOL8	TOL9	TOL10	TOL11	TOL12	TOL13	TOL14	TOL15	TOL16	TOL17	TOL18	TOL19	TOL20	TOL21	TOL22	TOL23	TOL24	TOL25	TOL26	TOL27	TOL28	TOL29	TOL30	TOL31
TOL11	0.7252872088895391	0.7298216025600723	0.21490608716101725	0.388688492513658	0.6062311072225921	0.22921922212555632	0.5764787317877863	0.5862352392339895	0.4122424092390001	0.6408619527426477	0.6730236125879446	0.7498569244882984	0.6079112535429406	0.49498471745915734	0.6633957969137632	0.44496394846189075	0.301325842802088	0.567853312788121	0.681369079624709	0.3125399738436135	0.42276659265893357	0.46569406867724183	0.6065887751521477	0.70575877074691	0.3985208527690502	0.42938209720168974	0.5682094275019393	0.37217737587465854	0.45432095123266886	0.5078106743566612	0.5351510692119799
TOL12	0.7118760245502979	0.5057715203276811	0.7676894423859305	0.6280291771832257	0.7018616608711117	0.6973388940971228	0.23762716042670834	0.40561635349937886	0.33182790310257315	0.5479500953676574	0.34721067691222707	0.39652563883229547	0.30099778858313886	0.4612052532363249	0.5116055421210578	0.21179515271831234	0.1878229535069539	0.42102903972116673	0.44094250914187566	0.3263920203460079	0.42379555511951195	0.27021797880209547	0.3726090630160352	0.20982259936891215	0.3868680995415769	0.39051311266328165	0.25914545185214855	0.260020480950897	0.3170510564940352	0.4902073425347914	0.40990654789842257
TOL13	0.5882927087282626	0.7175205140428048	0.15697963587047595	0.24981484918805388	0.5390994880223829	0.14211221202531216	0.8707599855263706	0.3541491673329272	0.42289294705631303	0.5643629954783499	0.4011303954461086	0.6138937843172625	0.4407543089256083	0.24549370572777524	0.5260918965074907	0.7644784645477718	0.17258869102617336	0.42301007076850367	0.44002018709303414	0.1711318980644911	0.22313619580995953	0.20587137993648882	0.34961476571956007	0.3992205793708343	0.31521311331328944	0.19109053388216904	0.7495787634889172	0.2095531622215969	0.2901638910534579	0.31587430764328017	0.3129273150452095
TOL14	0.42165053291268834	0.3904377368834645	0.1544806458785221	0.224545320150349	0.3810410692757715	0.12597450681216563	0.18402459016834666	0.2726300153496731	0.26087420148121243	0.4294613815580059	0.3394660050408924	0.6371657160944918	0.5115427865481229	0.3069034834598708	0.33174884442434055	0.1548392043486172	0.17047920273380335	0.41392114889695036	0.9328906125458976	0.20580075391622818	0.24944933008227335	0.3460010744326752	0.4250225742092364	0.37254529218756677	0.650451193238555	0.5396361914609872	0.30365826798153994	0.22680998766154675	0.450364375784047	0.5221498627632888	0.48586933868540955
TOL15	0.6612688854844929	0.742865876753755	0.2743919006834532	0.32251276345335006	0.5310956494391389	0.23446098073988822	0.4859962727053076	0.4058918225064941	0.4733030515995346	0.6489555900719236	0.605610051016856	0.565382500366718	0.5225441022940118	0.5037711444030916	0.7457876592395255	0.38186172496598053	0.22334194019265852	0.4978361199156753	0.5432836192440761	0.22002475776211683	0.3610272545303023	0.38368367287733784	0.5093921113785164	0.5386403244351348	0.30071418951878487	0.45550540840367687	0.5059979775696994	0.3774985484708122	0.35667981732070697	0.41781344379587104	0.46192474822956203
TOL16	0.7314473677621791	0.6298911176635033	0.5479721847483742	0.6161986977505277	0.5618841888771698	0.4998780613887514	0.27710058975801066	0.4403031302604676	0.5456474534236126	0.5572005393416621	0.5972638987830793	0.5030827533145689	0.40079052451793107	0.4833329309853348	0.6353285412452723	0.21834096399728112	0.2221879191962824	0.5444675216099019	0.5530794208452673	0.2748857939285217	0.4181941799556139	0.33978244962427073	0.4660755716798497	0.30004609336667803	0.39091077980975514	0.5512329622530062	0.3531112618089583	0.4448063380511001	0.4066147106719563	0.43590300100420853	0.44582534139485636
TOL17	0.5034634404219557	0.6571643640743672	0.22096286923386899	0.27598564320311325	0.4474240658701145	0.15895023790717852	0.4179169762679419	0.3854404099108712	0.9672031160678931	0.5961723741445365	0.38510395291057575	0.5335823325791206	0.19663057538945342	0.49955671252738076	0.7394260610945212	0.20298612963266724	0.18473235283242873	0.3424993978855395	0.3777660968348812	0.1318983430875977	0.24583106790067896	0.2671470491758739	0.34677295913518347	0.28509927061840784	0.22530506366149064	0.1893655308105773	0.4630733958217786	0.5476350769700857	0.22385396031250415	0.1990770958766945	0.416742127034858
TOL18	0.5269557915545016	0.7277699272582007	0.17169580304262233	0.20751371131809246	0.5262345152359278	0.12892745987024448	0.31672108191885867	0.24530263340311156	0.38485970325302127	0.67187711284688	0.7615938263299373	0.6661219403209088	0.3355144134731413	0.34081765578834033	0.5750984777256829	0.1636696154678214	0.181024950292212	0.9295638652624062	0.44703813320977753	0.2985248165586629	0.450022526123408	0.2310049668689578	0.4461133753411988	0.28072960308389716	0.30025392433965503	0.17397069477057286	0.4641229925038862	0.22878996411936642	0.3338071005407755	0.33210795537423443	0.5340658775371643
TOL19	0.4443395539893068	0.5149882194705436	0.14483930491842467	0.19890251745166096	0.36867404202055676	0.11783525504428735	0.6087585800207287	0.24975264957620152	0.3284288591155655	0.7073198047540884	0.2971550396084959	0.34540963326679375	0.31309174496008646	0.20642843968513286	0.4209643404387297	0.2412296111455616	0.12223966810379092	0.3711695612105324	0.35692279841154645	0.12341573965283717	0.20403541697747948	0.27561703618201866	0.3028028061983529	0.20650323018339814	0.1627615892623187	0.23167822470401228	0.5407563965433247	0.2360094749282622	0.20637289033090267	0.23197054445341103	0.2178926699442388
TOL20	0.477826436362348	0.6335212048406869	0.14303004045009893	0.2516323951004978	0.3828447845178709	0.0835679273002332	0.31995567954540916	0.38778337669705426	0.9683250044009947	0.583385896034052	0.4224614731434919	0.5041254469450666	0.22597167047234162	0.47073683684456363	0.702211553912296	0.16982440829562045	0.16182689023536773	0.31844014667814075	0.4356067300295598	0.1176469553452357	0.19712845160067885	0.32760101228387173	0.3543272363605949	0.31216382898741135	0.21529124090725849	0.192197792016432	0.3850529689886307	0.6866101115143154	0.24418082075698322	0.22019217762158638	0.4906433399969498
