SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7	SBS8	SBS9	SBS10	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS61	SBS62	SBS63	SBS64	SBS65	SBS66
SBS11	0.5208022462112771	0.571742780347129	0.6349198171820306	0.35149583045923316	0.5176404503741234	0.5749994137223601	0.4550263833025929	0.1089773982003385	0.22751163040222025	0.6131675308037264	1.0000000000000002	0.2601459285652166	0.3660762264136618	0.37991751646406674	0.6263019297312306	0.3359384235477467	0.2836321086958049	0.327058639181737	0.26800196204134746	0.37577452956026064	0.3456949535149898	0.2594533572414133	0.24360561635497271	0.44717667833797803	0.4132276207271529	0.47413658484140164	0.7429771678101268	0.5026669521596568	0.6464665752415147	0.7226886942569961	0.4346895366024542	0.559304381401686	0.6142334865955645	0.49504633158678785	0.4510854037823203	0.4672770534223299	0.53047688989732	0.31167117014886025	0.4789977302246184	0.25004895703098884	0.3665432067274612	0.4967660828923218	0.4706613986515104	0.5177985434173721	0.6071610195167466	0.4284709421207042	0.49976934877313717	0.44468027389548315	0.5139788194485034	0.41477457866224726	0.6367179186345661	0.6306667900126397	0.5408041276628025	0.5401214652649229	0.5395128496616777	0.6567040323018818	0.6410918471997611	0.4312283174519087	0.39446659389136285	0.6135832601771258	0.4422365694337922	0.6138076138864179	0.3299362681864084	0.46047969004285144	0.6671781708451765	0.58860589191019
SBS12	0.35045715124405213	0.5723746943347391	0.3359965636589178	0.7465810300905987	0.26208474098096785	0.5350912881306185	0.2544819730231866	0.05893049926192496	0.7021125768117404	0.26856085109050604	0.2601459285652166	1.0	0.16085020702148586	0.2445993931570858	0.32089134468787384	0.717403761429106	0.21208075903443652	0.22882406007705816	0.1331997165725232	0.19296379717224912	0.4979478032802852	0.15232548573534743	0.18682906381668857	0.3397572567491308	0.2867459287287178	0.21103577890109415	0.4074004921436403	0.21114555738406926	0.45434853386659896	0.46268976318637406	0.44193632743480826	0.43465995359153176	0.4440763696049239	0.29933843224944906	0.25048115512099106	0.2922801804333737	0.4623084140381761	0.21755145761398403	0.41943217852975506	0.6098167293442024	0.2866716174682861	0.5883006981919563	0.32180055372696864	0.343669809466803	0.5039759783844249	0.4284055844299433	0.3367079519181901	0.5828416849086591	0.25651336393331436	0.5490051627084227	0.32965916177339094	0.37523988462103264	0.4138732601795919	0.3359839173455033	0.3986066086806289	0.42260924864002103	0.28250367946947375	0.32020053067185905	0.2966266930364805	0.445206326042251	0.36253895557431803	0.5073747157636942	0.2011772217850287	0.34255041388939694	0.34881501332615894	0.447148062137726
SBS13	0.7592894400408341	0.36176309034618126	0.24156991555333818	0.19430760900555316	0.4865648125310391	0.25228717239960596	0.6172288766161842	0.6736749429579217	0.14455653096426044	0.4850589343017191	0.3660762264136618	0.16085020702148586	1.0	0.2751560436324761	0.2917962199747192	0.1878615472534876	0.4424343151600574	0.29728488998768987	0.5238609232295854	0.222314266840663	0.14483700969562704	0.1212991264967245	0.25786316769922063	0.1880885564989342	0.350293263284933	0.23436508269945375	0.41918411504977254	0.3962725960417397	0.19539970384664343	0.44331390720806685	0.23742771938669666	0.2565396877748001	0.3283627054923431	0.5137902619187227	0.15691183719442126	0.24765951520500357	0.30617238401074065	0.1212637150429768	0.44928131830474555	0.13760422226794103	0.18178951436997887	0.2073990283809661	0.23717655967580104	0.270905123534207	0.35277137729624575	0.21421557436738392	0.3725815007663741	0.30524908138084367	0.27624873531858574	0.2081455961341056	0.3750946924878327	0.3593945795268679	0.41472411667974807	0.24983422058846014	0.28436412987244575	0.27724718479287447	0.2971687937626017	0.32546392709150523	0.2901570438103368	0.3601226017719641	0.3081337403117208	0.2758805750539889	0.1678733064183012	0.31020483332545207	0.35349698950463515	0.3338979876880054
SBS14	0.386460576703987	0.40610835252948374	0.31730890926908806	0.26158089946663104	0.2976744199910455	0.5776409747561138	0.2580448850796948	0.09067399024602539	0.24630743590591678	0.570252897629689	0.37991751646406674	0.2445993931570858	0.2751560436324761	1.0000000000000002	0.3122836224151868	0.19115634071709037	0.21133970200119986	0.3463695680162976	0.211577200474013	0.20833537580042755	0.21269967312356355	0.1106403663429753	0.6700905528950933	0.32997335472744	0.7043774369990123	0.23586571884254784	0.47443989768679456	0.2405176561918617	0.4533927555140767	0.4989553841814266	0.35902266813066835	0.260172374795537	0.40040631122986664	0.7243785166373107	0.13743247361967648	0.34902343428923704	0.5512839695748777	0.21578929336707142	0.43445102857664525	0.1746625787794388	0.3263188483515401	0.294201508040317	0.40861242632903955	0.4367263046646979	0.3509523807169595	0.51727741209634	0.46507788915557985	0.36423898687161377	0.3030416583761525	0.21436700105903422	0.3965116634470611	0.42410546597182747	0.4402630658395365	0.3470701444910207	0.4177224354507753	0.3168830610685431	0.4049701120696202	0.2875720060308338	0.38521096633821017	0.3923370873897805	0.31018300514334146	0.33257671240407244	0.20633657546114542	0.3114234203731999	0.3824617070786324	0.4263798422174372
SBS15	0.5461048164051028	0.48895099310366874	0.5388454952722314	0.3635163386678723	0.35662946221291963	0.5038900342610682	0.49653178261730113	0.10793121448173264	0.26420616280775433	0.43489046799720277	0.6263019297312306	0.32089134468787384	0.2917962199747192	0.3122836224151868	0.9999999999999999	0.3232734985599341	0.38081179705344304	0.3687788322254741	0.26259849354472437	0.3682412010505078	0.30034394020523625	0.164431959511351	0.17605133456738703	0.3777402725463627	0.3443941721398594	0.4714911485077108	0.6244336212265571	0.4248911377133015	0.5094001172753193	0.6240550009469549	0.3934092512902976	0.4069435816203715	0.5268396452120522	0.4046431720430059	0.30544473803194316	0.3943463467997514	0.3830953533643083	0.4038064010680575	0.4866675684309042	0.35006006268856804	0.3866254013208499	0.5284214561258265	0.4341892008350965	0.4099207269680779	0.501885245224	0.32955817661198444	0.5007447632438902	0.6488211702533704	0.4988135370287986	0.44040615813919776	0.48099239550121475	0.46991526018197716	0.5982611433535312	0.4166479775761688	0.42476656089722925	0.6203381891464006	0.45237963424444694	0.33312509179546457	0.35577719037955435	0.5062859466619772	0.5189272202558937	0.5000439661410264	0.2621940257531847	0.38735330352661496	0.5391217266894571	0.5264957775199457
SBS16	0.43755163147000936	0.44705131085130473	0.3869831779270171	0.5287190997379246	0.29845623946601535	0.5004048686595242	0.3325351615624492	0.05947967427467894	0.39831795631556227	0.37828657735329396	0.3359384235477467	0.717403761429106	0.1878615472534876	0.19115634071709037	0.3232734985599341	1.0	0.2929204294113106	0.3229728358033521	0.14996687797384153	0.3622176855931486	0.46786620629079634	0.17471247785505542	0.1889084791213689	0.3367000646831585	0.2482089226238608	0.23241087049088047	0.4747322716661949	0.18583137792039078	0.3919358689390866	0.49049826761573423	0.4006168498991825	0.5103162338417314	0.4943152900060794	0.2818402302918744	0.2697896572602305	0.27616796681001304	0.3935758742820858	0.4671796713526059	0.5883785466128508	0.6998701086993029	0.2565579989358248	0.5644063186734724	0.3564770034697272	0.3230012949513424	0.49718894902677974	0.495043545059475	0.34867049990169435	0.5632550914263604	0.27918944661856554	0.5800765249399259	0.43411930368520635	0.4128535797944784	0.42983152105696415	0.40395674254155145	0.5082223050525946	0.4343951551541376	0.3257836301043478	0.3525441293454426	0.35958774903114715	0.4867336906371867	0.548449074286553	0.550874703318621	0.25448586209460466	0.4333760440251234	0.33682819972377626	0.40457697560844796
SBS17	0.5827661415220867	0.5005100139406435	0.4274371376573328	0.26957302451045223	0.6829722786670491	0.4095282728587328	0.545321999536575	0.2193188861173757	0.1698956913148399	0.4224260641856552	0.2836321086958049	0.21208075903443652	0.4424343151600574	0.21133970200119986	0.38081179705344304	0.2929204294113106	1.0	0.41644133152663204	0.25308809536177107	0.5429255853992289	0.3571765395707282	0.09292377116098302	0.10624893996860836	0.299037813507356	0.21004584579512448	0.27428171583791167	0.3649956725200054	0.20102673315816574	0.31645139064597877	0.35722145600790356	0.36202506404394064	0.2128672634331767	0.47890836869580883	0.42524591365558867	0.15970933425342862	0.19857674004236206	0.21809632007501564	0.21413789891164195	0.3148623923928893	0.15398832345949712	0.35536610385052164	0.2549379742319833	0.23743685476785745	0.2881738458442778	0.21257427917092467	0.15760297077012553	0.28076862236565864	0.3936326922559179	0.24645215426181258	0.3033960008054639	0.26263324781203307	0.29786799275218023	0.2744198987077743	0.21386837079186363	0.3163189951092878	0.39703434855883296	0.2743624345775128	0.24377171274177967	0.2071994634119515	0.2594994947965678	0.2795486874819655	0.35521658764921915	0.1707835241099982	0.21347211596159105	0.32677342482192645	0.26797364816687
SBS18	0.5907362971200479	0.6126365969660427	0.6420824710802405	0.2875986706699654	0.3055350556491336	0.45633145980739676	0.6521972153859927	0.13128261524900703	0.2856574785839666	0.5850405073564031	0.327058639181737	0.22882406007705816	0.29728488998768987	0.3463695680162976	0.3687788322254741	0.3229728358033521	0.41644133152663204	1.0000000000000002	0.1625435574542272	0.2797675467801324	0.2849674369646535	0.12958140932799056	0.21705738789041504	0.4719070299369023	0.32068273353812304	0.1770600485330985	0.5582670057385609	0.24009087037848706	0.2610730730079929	0.44470444343821625	0.4788543102628727	0.3314165525605335	0.44925393058909535	0.34580824582386954	0.14573948903355782	0.3183749506947167	0.3685846922802622	0.19564564995703126	0.36722937697676494	0.24294696603455856	0.35261082983760084	0.40059890578036766	0.31680467743113144	0.49590705935022067	0.2850334186884794	0.2513509415020854	0.529493630231844	0.38375297384301826	0.26651103113299335	0.3832167522104895	0.41899488008234637	0.33231632971532915	0.323730523077376	0.3120318028361375	0.32881640583548716	0.38997961970945044	0.38482826626437466	0.2910597258948264	0.3890373347851391	0.39180706002336446	0.29442297989374805	0.43193451387364606	0.18370073463889927	0.3446242124828455	0.39566036791444353	0.3502231299332675
SBS19	0.5756728395131794	0.2357960629519522	0.18646493558911803	0.1510197476074142	0.28929643592826765	0.2528692542214168	0.5149434895950629	0.33795842241966956	0.10038610838970406	0.3565453018206226	0.26800196204134746	0.1331997165725232	0.5238609232295854	0.211577200474013	0.26259849354472437	0.14996687797384153	0.25308809536177107	0.1625435574542272	1.0	0.19602687580216935	0.12429611004616316	0.08437630433788755	0.1138394379865749	0.17351020351946947	0.21776543941070214	0.363548638997297	0.3228537739009681	0.2205089226561928	0.24452065008515192	0.3623442668553976	0.22566494453470126	0.2415437846865242	0.32294761180282483	0.2868188778175125	0.20800510914135628	0.17877751459658744	0.22866604602363	0.14232075844111913	0.2742565026949144	0.1214431976107773	0.19447758105237214	0.17561059976331542	0.1955100623579465	0.18443669706976215	0.26876676922893145	0.1632193514215056	0.20602882379667198	0.3423380223779292	0.2047381061326606	0.170865180584537	0.21802671214534278	0.2750787241034318	0.41462166481842516	0.1959820356646037	0.23858539295327943	0.20456650636950838	0.19791727458821093	0.2721190862016987	0.20832478477774066	0.2973302953559774	0.23204515702907838	0.20455111543698695	0.1357991329818463	0.20771086859000587	0.26289179955016073	0.2858752036746823
SBS20	0.46852714443615984	0.3785572383669864	0.4837102256652235	0.1837017758914366	0.3699246197463967	0.35616179001501536	0.43504618078077417	0.08329626792692371	0.10865523991111897	0.4284833039433417	0.37577452956026064	0.19296379717224912	0.222314266840663	0.20833537580042755	0.3682412010505078	0.3622176855931486	0.5429255853992289	0.2797675467801324	0.19602687580216935	1.0	0.39063736573360264	0.08881350126962421	0.12462936414137314	0.2687476967669066	0.22015095409519683	0.30992292385039344	0.4038019488972275	0.16863970800944242	0.33912533395019506	0.41029328824400135	0.311926363120173	0.4267850725332603	0.41335657153409533	0.24590756792188775	0.2679880605121037	0.19133567941094637	0.24770199171668944	0.18611560375700031	0.4310082089001686	0.2748892981333377	0.3101593095304653	0.3654802789736009	0.2503943077675863	0.2599878149261519	0.3276027749099141	0.20451521146018461	0.2457749248983671	0.37240143479078397	0.2885925051814391	0.3866182935405864	0.2890150923177843	0.4150073547664104	0.3193976203791876	0.268542588386796	0.3294419788142397	0.44862235221650654	0.3445331204311272	0.5500145141486942	0.3085732766403355	0.3134779695607387	0.38707185313396497	0.48076894210577886	0.22874672750473787	0.2755583543134226	0.38063433233386534	0.3715085643528331
